,VarName,Value
0,CFD_roo.AFlo,1.0
1,CFD_roo.RoomMeanT,294.9491882324219
2,CFD_roo.Room_MeanT,294.9491882324219
3,CFD_roo.T_start,283.1499938964844
4,CFD_roo.V,1.0
5,CFD_roo.X_start[1],0.009999999776482582
6,CFD_roo.X_start[2],0.9900000095367432
7,CFD_roo.air.QCon_flow,0.0
8,CFD_roo.air.QLat_flow,0.0
9,CFD_roo.air.T_start,283.1499938964844
10,CFD_roo.air.V,1.0
11,CFD_roo.air.X_start[1],0.009999999776482582
12,CFD_roo.air.X_start[2],0.9900000095367432
13,CFD_roo.air.conMod,2.0
14,CFD_roo.air.conSurBou[1].Q_flow,-22.524917602539062
15,CFD_roo.air.conSurBou[1].T,283.1499938964844
16,CFD_roo.air.conSurBou[2].Q_flow,-22.524917602539062
17,CFD_roo.air.conSurBou[2].T,283.1499938964844
18,CFD_roo.air.conSurBou[3].Q_flow,-25.027687072753906
19,CFD_roo.air.conSurBou[3].T,283.1499938964844
20,CFD_roo.air.conSurBou[4].Q_flow,-25.027687072753906
21,CFD_roo.air.conSurBou[4].T,283.1499938964844
22,CFD_roo.air.conSurBou[5].Q_flow,-29.070621490478516
23,CFD_roo.air.conSurBou[5].T,283.1499938964844
24,CFD_roo.air.conSurBou[6].Q_flow,36.0828857421875
25,CFD_roo.air.conSurBou[6].T,303.1499938964844
26,CFD_roo.air.convSurBou[1].A,0.8999999761581421
27,CFD_roo.air.convSurBou[1].Q_flow,-22.524917602539062
28,CFD_roo.air.convSurBou[1].conMod,2.0
29,CFD_roo.air.convSurBou[1].dT,-9.19140911102295
30,CFD_roo.air.convSurBou[1].fluid.Q_flow,22.524917602539062
31,CFD_roo.air.convSurBou[1].fluid.T,292.3414001464844
32,CFD_roo.air.convSurBou[1].hFixed,3.0
33,CFD_roo.air.convSurBou[1].q_flow,-25.027687072753906
34,CFD_roo.air.convSurBou[1].solid.Q_flow,-22.524917602539062
35,CFD_roo.air.convSurBou[1].solid.T,283.1499938964844
36,CFD_roo.air.convSurBou[1].til,1.5707963705062866
37,CFD_roo.air.convSurBou[2].A,0.8999999761581421
38,CFD_roo.air.convSurBou[2].Q_flow,-22.524917602539062
39,CFD_roo.air.convSurBou[2].conMod,2.0
40,CFD_roo.air.convSurBou[2].dT,-9.19140911102295
41,CFD_roo.air.convSurBou[2].fluid.Q_flow,22.524917602539062
42,CFD_roo.air.convSurBou[2].fluid.T,292.3414001464844
43,CFD_roo.air.convSurBou[2].hFixed,3.0
44,CFD_roo.air.convSurBou[2].q_flow,-25.027687072753906
45,CFD_roo.air.convSurBou[2].solid.Q_flow,-22.524917602539062
46,CFD_roo.air.convSurBou[2].solid.T,283.1499938964844
47,CFD_roo.air.convSurBou[2].til,1.5707963705062866
48,CFD_roo.air.convSurBou[3].A,1.0
49,CFD_roo.air.convSurBou[3].Q_flow,-25.027687072753906
50,CFD_roo.air.convSurBou[3].conMod,2.0
51,CFD_roo.air.convSurBou[3].dT,-9.19140911102295
52,CFD_roo.air.convSurBou[3].fluid.Q_flow,25.027687072753906
53,CFD_roo.air.convSurBou[3].fluid.T,292.3414001464844
54,CFD_roo.air.convSurBou[3].hFixed,3.0
55,CFD_roo.air.convSurBou[3].q_flow,-25.027687072753906
56,CFD_roo.air.convSurBou[3].solid.Q_flow,-25.027687072753906
57,CFD_roo.air.convSurBou[3].solid.T,283.1499938964844
58,CFD_roo.air.convSurBou[3].til,1.5707963705062866
59,CFD_roo.air.convSurBou[4].A,1.0
60,CFD_roo.air.convSurBou[4].Q_flow,-25.027687072753906
61,CFD_roo.air.convSurBou[4].conMod,2.0
